molecule,aug-cc-pVDZ,aug-cc-pCVDZ,d-aug-cc-pVDZ,d-aug-cc-pCVDZ,aug-cc-pVTZ,aug-cc-pCVTZ,d-aug-cc-pVTZ,d-aug-cc-pCVTZ,aug-cc-pVQZ,aug-cc-pCVQZ,d-aug-cc-pVQZ,d-aug-cc-pCVQZ,cluster
FNO,-3.339171690501999,-3.328309909313101,-0.14242790846385747,-0.14062091338773103,-0.8291225183991247,-0.8426891268906598,0.06865066836648834,0.06004371438865923,-0.17845877787843445,-0.17719186155645067,0.01438843790380044,0.014227461692611581,3
C2H4,-1.5104288939182005,-1.616286531813328,0.03178274673016994,-0.07286035740352317,-0.4044750804926229,-0.4150266301574182,0.04853592533141745,0.03563991720879317,-0.14265798556650483,-0.13971255426524487,0.00934184031420775,0.01036127464392762,3
H2,-3.5202645110893696,-3.5202645110893696,-0.8763015911058283,-0.8763015911058283,-0.13511282830081434,-0.13511282830081434,0.20262018000792165,0.20262018001818613,-0.06474945307714061,-0.06474945306170964,-0.02188546226373269,-0.02188546230487282,3
N2H2,-2.010117495668945,-2.040318343869851,-0.27942375392628765,-0.3110704677816552,-0.3673629979836225,-0.37963010092035243,0.03802823632965029,0.022447729108661954,-0.08315543467543385,-0.08347162125444335,0.016757856882577745,0.01576997368845952,3
HBO,-1.6313240073882975,-1.704259545333146,-0.09783292598987746,-0.1471834664806544,-0.44501733922445214,-0.4302026779119855,0.010883259355209507,0.012256253284645633,-0.08094618495216431,-0.08448134616200031,0.029524874363503883,0.024378248294891162,3
CO2,-3.1850919721387663,-3.1943776567178332,-0.048261154395075646,-0.06789937625782846,-0.7996671321321795,-0.8090481529256686,0.07526763823503559,0.06811532417347374,-0.17433121153309675,-0.18015216130595696,0.013103485733854572,0.008509993823459086,3
HCCF,-3.008927603441779,-3.1265650726916983,-0.18374184154855583,-0.31327659088372845,-0.5204141243968857,-0.516015975371254,0.048578817149019085,0.05267082049440663,-0.10375204701277721,-0.09647239219093236,0.007440226313250801,0.011091745877109893,3
FCN,-3.007928231439231,-3.035705675400944,-0.25574123535314125,-0.29738295345709315,-0.590938379136651,-0.5859742762207413,0.07234590717049386,0.07150326566849037,-0.11171957420478319,-0.11016410099399913,0.02236058805984886,0.023772505392877955,3
NH3O,-5.0551581771695515,-5.111406119173389,0.014596190590355782,-0.04981201005370849,-2.08325688863505,-2.103275918466397,0.09652511579047504,0.077648936594456,-0.7393225468526597,-0.7418398053489728,0.01674193910701766,0.013911011521246876,3
NH2OH,-2.0922289968580476,-2.157138720001576,0.010280374830889078,-0.0558992861463153,-0.5131300690572571,-0.5317570764832525,0.05985692400176125,0.04150419510860059,-0.16201471262917566,-0.16279708485809136,-0.006141033395070339,-0.007978890692016143,3
HCN,-2.3426080084280305,-2.4005195174500202,-0.19968547537859838,-0.25833880870942616,-0.3308366726942728,-0.32449863142194657,0.03435465085779962,0.033138861262569944,-0.03695691128058614,-0.03193686234742643,0.010062155421716186,0.012324125377229501,3
HOF,-5.224933917390348,-5.219917511909848,-0.38271083850503074,-0.39289931715885834,-1.4233183504383315,-1.4276477666411023,0.0895735135526201,0.08431827961052038,-0.3129968258632678,-0.31109695673073157,0.044096245814455974,0.04443542654121104,3
CH3F,-1.8263460443868507,-1.8708780665946798,-0.04675953762804228,-0.09183844564405418,-0.3448567864295932,-0.33747078774440775,0.05891412582837711,0.0604379905851886,-0.04840625270279787,-0.046135286950268015,0.026169278648735805,0.02534946967059424,3
CH3OH,-1.1411811882930822,-1.1979234710749176,0.015686266551106536,-0.04027044581812987,-0.2040252051744075,-0.20561589379317402,0.05661466413757999,0.05105473429043608,-0.038207473058161495,-0.038324038835533564,0.017870357954162357,0.016394091615201882,3
C2H2,-3.0016728377020305,-3.1366892061063476,-0.2978308143136427,-0.4358651611502664,-0.5299811072456193,-0.5312821733895948,0.036855210272849985,0.03596804752906338,-0.10793317046353729,-0.1003109776844088,0.003383427288803936,0.006443400477687532,3
F2,-7.564830775074268,-7.5156807210059835,-0.3638772785749756,-0.33479434921538986,-2.0184667442794515,-2.0122473811419765,0.087613466950669,0.09543052178728491,-0.31256953889225464,-0.3071649539057287,0.06339838228390293,0.06637623798837047,3
CH2NH,-1.3334862630597415,-1.390684923036097,-0.0060474656256646366,-0.06427370617795558,-0.2336775480923636,-0.24520064526274005,0.04228727545398057,0.031159002272278122,-0.05082503682942714,-0.050470904235577554,0.01268917700041573,0.011602427366983865,3
