,b,c,basis,molecule,Beta
0,0,0,MRA,BF,38.31852
1,0,0,MRA,BH2Cl,27.979380000000003
2,0,0,MRA,BH2F,20.177460000000004
3,0,0,MRA,BH3,0.0
4,0,0,MRA,BHF2,-17.18766
5,0,0,MRA,CH2BH,68.5518
6,0,0,MRA,CH2NH,-13.5844818
7,0,0,MRA,CH3BH2,-3.783024
8,0,0,MRA,CH3Cl,1.562274
9,0,0,MRA,CH3F,16.901580000000003
10,0,0,MRA,CH3NH2,2.7820596
11,0,0,MRA,CH3OH,-15.114113999999999
12,0,0,MRA,CH3SH,-19.129188000000003
13,0,0,MRA,CO,18.840300000000003
14,0,0,MRA,CS,28.709039999999998
15,0,0,MRA,CSO,20.581919999999997
16,0,0,MRA,ClCN,13.768620000000002
17,0,0,MRA,ClF,-31.919639999999998
18,0,0,MRA,FCN,-23.6928
19,0,0,MRA,FNO,1.4933322
20,0,0,MRA,H2O,4.6272
21,0,0,MRA,HBO,22.33128
22,0,0,MRA,HBS,-40.81764
23,0,0,MRA,HCCCl,40.12044
24,0,0,MRA,HCCF,46.975139999999996
25,0,0,MRA,HCHO,22.26708
26,0,0,MRA,HCHS,2.3525579999999997
27,0,0,MRA,HCN,-3.6365279999999998
28,0,0,MRA,HCONH2,11.846298
29,0,0,MRA,HCOOH,1.5746765999999996
30,0,0,MRA,HCP,27.742560000000005
31,0,0,MRA,HCl,-6.33972
32,0,0,MRA,HF,-5.058515999999999
33,0,0,MRA,HNC,22.660739999999997
34,0,0,MRA,HNO,-8.585574000000001
35,0,0,MRA,HNS,18.974567999999998
36,0,0,MRA,HOF,-10.29165
37,0,0,MRA,HOOH,-1.755414
38,0,0,MRA,LiBH4,31.64592
39,0,0,MRA,LiCN,-0.42353999999999914
40,0,0,MRA,LiCl,47.4636
41,0,0,MRA,LiH,183.5514
42,0,0,MRA,LiH_s,-184.72020703799998
43,0,0,MRA,Mg2,0.065193
44,0,0,MRA,N2H2,-11.209654619999998
45,0,0,MRA,NH2Cl,18.4787118
46,0,0,MRA,NH2F,-8.524104
47,0,0,MRA,NH2OH,-8.630922
48,0,0,MRA,NH3,6.425399999999999
49,0,0,MRA,NH3O,28.53408
50,0,0,MRA,NOCl,39.0423
51,0,0,MRA,Na2,1.0730928
52,0,0,MRA,NaCN,25.396278
