,molecule,omega,basis,alpha,gamma,alphaMRA,gammaMRA,alphaE,gammaE,augmentation,polarization,mol_system,valence,Type
0,FNO,0,aug-cc-pVDZ,15.52417541753,12.210672167004743,16.061666666666664,11.954530972207504,-3.346422636525876,2.1426285597714303,aug,V,Fluorine,D,aug-cc-pVnZ
1,FNO,1,aug-cc-pVDZ,15.528796793479998,12.21701399819676,16.06635,11.961971729027873,-3.345832790397333,2.132108944464245,aug,V,Fluorine,D,aug-cc-pVnZ
2,FNO,2,aug-cc-pVDZ,15.542703616646667,12.23605845716219,16.08061,11.980014334844578,-3.3450620551915176,2.137260567150522,aug,V,Fluorine,D,aug-cc-pVnZ
3,FNO,3,aug-cc-pVDZ,15.566026511546667,12.26785950929006,16.10443666666667,12.01100198879494,-3.343241159340983,2.1385186742516837,aug,V,Fluorine,D,aug-cc-pVnZ
4,FNO,4,aug-cc-pVDZ,15.598992146413332,12.312496445831316,16.13895,12.054357724279292,-3.3456814327243665,2.1414556250648995,aug,V,Fluorine,D,aug-cc-pVnZ
5,FNO,5,aug-cc-pVDZ,15.641938608786663,12.370054466596168,16.182676666666666,12.111265791730412,-3.3414624108125643,2.1367599334039595,aug,V,Fluorine,D,aug-cc-pVnZ
6,FNO,6,aug-cc-pVDZ,15.695341594356668,12.440589119433817,16.238046666666666,12.181056385069972,-3.3421819967056656,2.130625835390989,aug,V,Fluorine,D,aug-cc-pVnZ
7,FNO,7,aug-cc-pVDZ,15.759858440156668,12.52406175925295,16.303853333333333,12.26325154999556,-3.336603206951474,2.126762288077535,aug,V,Fluorine,D,aug-cc-pVnZ
8,FNO,8,aug-cc-pVDZ,15.836404251893333,12.620219716614722,16.383476666666667,12.356078775569188,-3.339171690501999,2.1377408305926444,aug,V,Fluorine,D,aug-cc-pVnZ
9,FNO,0,aug-cc-pVTZ,15.930854359416664,12.040336573257788,16.061666666666664,11.954530972207504,-0.8144379407491976,0.7177663536090967,aug,V,Fluorine,T,aug-cc-pVnZ
10,FNO,1,aug-cc-pVTZ,15.935549203686667,12.046598011766685,16.06635,11.961971729027873,-0.8141288862332292,0.7074609826526436,aug,V,Fluorine,T,aug-cc-pVnZ
11,FNO,2,aug-cc-pVTZ,15.949676119030002,12.065400906442145,16.08061,11.980014334844578,-0.8142345406672883,0.7127418149176614,aug,V,Fluorine,T,aug-cc-pVnZ
12,FNO,3,aug-cc-pVTZ,15.973364744516669,12.09679811457419,16.10443666666667,12.01100198879494,-0.8138870353738922,0.7143128096997197,aug,V,Fluorine,T,aug-cc-pVnZ
13,FNO,4,aug-cc-pVTZ,16.006839936446667,12.140867271105492,16.13895,12.054357724279292,-0.8185790497729659,0.7176620173794624,aug,V,Fluorine,T,aug-cc-pVnZ
14,FNO,5,aug-cc-pVTZ,16.05043684003333,12.197691744453024,16.182676666666666,12.111265791730412,-0.8171690589710918,0.7135996700000082,aug,V,Fluorine,T,aug-cc-pVnZ
15,FNO,6,aug-cc-pVTZ,16.10462652782333,12.26732582034845,16.238046666666666,12.181056385069972,-0.821651406614184,0.7082262207095292,aug,V,Fluorine,T,aug-cc-pVnZ
