basis,molecule,omega,alpha,gamma,alphaMRA,gammaMRA,alphaE,gammaE,augmentation,polarization,mol_system,valence,Type,absolute_alphaE,eE
aug-cc-pVDZ,FNO,0,15.52417541753,12.210672167004743,16.061666666666664,11.954530972207504,-3.346422636525876,2.1426285597714303,aug,V,Fluorine,D,aug-cc-pVnZ,3.346422636525876,0.07536004470446755
aug-cc-pVTZ,FNO,0,15.930854359416664,12.040336573257788,16.061666666666664,11.954530972207504,-0.8144379407491976,0.7177663536090967,aug,V,Fluorine,T,aug-cc-pVnZ,0.8144379407491976,0.019787639963482206
aug-cc-pVQZ,FNO,0,16.034430176843333,11.975627203247644,16.061666666666664,11.954530972207504,-0.1695744930372353,0.17647058750515177,aug,V,Fluorine,Q,aug-cc-pVnZ,0.1695744930372353,0.004227190705478279
aug-cc-pV5Z,FNO,0,16.048498555886667,11.962324967733728,16.061666666666664,11.954530972207504,-0.08198470963991092,0.06519699973461426,aug,V,Fluorine,5,aug-cc-pVnZ,0.08198470963991092,0.0004531420044884271
aug-cc-pCVDZ,FNO,0,15.52620489702,12.20028483799515,16.061666666666664,11.954530972207504,-3.3337870892186228,2.055738249865156,aug,CV,Fluorine,D,aug-cc-pCVnZ,3.3337870892186228,0.07458444207748016
aug-cc-pCVTZ,FNO,0,15.928795650616667,12.036697808688224,16.061666666666664,11.954530972207504,-0.8272554698557434,0.6873279819320876,aug,CV,Fluorine,T,aug-cc-pCVnZ,0.8272554698557434,0.018878974592468012
aug-cc-pCVQZ,FNO,0,16.03466259224,11.974957388262292,16.061666666666664,11.954530972207504,-0.168127473861142,0.17086756563077152,aug,CV,Fluorine,Q,aug-cc-pCVnZ,0.168127473861142,0.0039005362284854073
d-aug-cc-pVDZ,FNO,0,16.039371698820002,12.001426883454682,16.061666666666664,11.954530972207504,-0.13880855772540396,0.3922856643744892,d-aug,V,Fluorine,D,d-aug-cc-pVnZ,0.13880855772540396,0.07439871460147174
d-aug-cc-pVTZ,FNO,0,16.073235106789998,11.960562813259854,16.061666666666664,11.954530972207504,0.072025153823807,0.05045652620226415,d-aug,V,Fluorine,T,d-aug-cc-pVnZ,0.072025153823807,0.019121618067487134
d-aug-cc-pVQZ,FNO,0,16.064199158506668,11.953067090285812,16.061666666666664,11.954530972207504,0.015767304181823066,-0.01224541494012304,d-aug,V,Fluorine,Q,d-aug-cc-pVnZ,0.015767304181823066,0.004058044095472724
d-aug-cc-pV5Z,FNO,0,16.060533216786666,11.952191513756723,16.061666666666664,11.954530972207504,-0.007056863422211444,-0.01956963812482005,d-aug,V,Fluorine,5,d-aug-cc-pVnZ,0.007056863422211444,0.0004375200384743039
d-aug-cc-pCVDZ,FNO,0,16.039899528276667,11.991561950744671,16.061666666666664,11.954530972207504,-0.13552228944690395,0.30976521473957364,d-aug,CV,Fluorine,D,d-aug-cc-pCVnZ,0.13552228944690395,0.0736155389794817
