,b,c,molecule,basis,Beta,beta_MRA,betaE,augmentation,polarization,mol_system,valence,Type
0,0,0,BF,aug-cc-pCVDZ,25.1152722552675,28.239003119076113,-11.061760397974036,aug,CV,Fluorine,D,aug-cc-pCVnZ
1,0,0,BH2Cl,aug-cc-pCVDZ,33.935420988715855,21.951127486360324,54.59534372347005,aug,CV,Second-row,D,aug-cc-pCVnZ
2,0,0,BH2F,aug-cc-pCVDZ,25.31066369550947,25.25998967864797,0.20060980826264513,aug,CV,Fluorine,D,aug-cc-pCVnZ
3,0,0,BH3,aug-cc-pCVDZ,6.851657530720995,6.652352780712071,2.9960039188960503,aug,CV,First-row,D,aug-cc-pCVnZ
4,0,0,BHF2,aug-cc-pCVDZ,17.548499493934166,16.937268565391864,3.608792800223039,aug,CV,Fluorine,D,aug-cc-pCVnZ
5,0,0,CH2BH,aug-cc-pCVDZ,63.773013106741914,56.9337065885799,12.012754707127886,aug,CV,First-row,D,aug-cc-pCVnZ
6,0,0,CH2NH,aug-cc-pCVDZ,14.303778692432555,11.992363896945715,19.274054851483655,aug,CV,First-row,D,aug-cc-pCVnZ
7,0,0,CH3BH2,aug-cc-pCVDZ,17.83662963455121,17.57175945452562,1.5073628836716846,aug,CV,First-row,D,aug-cc-pCVnZ
8,0,0,CH3Cl,aug-cc-pCVDZ,11.314489959957077,7.191056007099109,57.34114640168645,aug,CV,Second-row,D,aug-cc-pCVnZ
9,0,0,CH3F,aug-cc-pCVDZ,24.32571855589819,23.288143011218594,4.455381196258399,aug,CV,Fluorine,D,aug-cc-pCVnZ
10,0,0,CH3NH2,aug-cc-pCVDZ,8.205831165471782,7.58568814253501,8.175171603212398,aug,CV,First-row,D,aug-cc-pCVnZ
11,0,0,CH3OH,aug-cc-pCVDZ,22.126995464035932,21.623293373131407,2.329442061450332,aug,CV,First-row,D,aug-cc-pCVnZ
12,0,0,CH3SH,aug-cc-pCVDZ,26.45569445123508,43.913212224791394,-39.75459067806613,aug,CV,Second-row,D,aug-cc-pCVnZ
13,0,0,CO,aug-cc-pCVDZ,16.80143366544171,16.027522177752928,4.828640878519657,aug,CV,First-row,D,aug-cc-pCVnZ
14,0,0,CS,aug-cc-pCVDZ,23.621227281651144,17.207479465298746,37.273023218110495,aug,CV,Second-row,D,aug-cc-pCVnZ
15,0,0,CSO,aug-cc-pCVDZ,37.97983415559718,49.989513221133734,-24.024396901827203,aug,CV,Second-row,D,aug-cc-pCVnZ
16,0,0,ClCN,aug-cc-pCVDZ,14.24493872511002,7.230808247149006,97.00340872303696,aug,CV,Second-row,D,aug-cc-pCVnZ
