,b,c,molecule,basis,Beta,beta_MRA,betaE,augmentation,polarization,mol_system,valence,Type
0,0,0,BF,aug-cc-pCVDZ,33.12516,38.31852,-13.553133054199375,aug,CV,Fluorine,D,aug-cc-pCVnZ
1,0,0,BH2Cl,aug-cc-pCVDZ,36.521100000000004,27.979380000000003,30.5286250088458,aug,CV,Second-row,D,aug-cc-pCVnZ
2,0,0,BH2F,aug-cc-pCVDZ,19.484640000000002,20.177460000000004,-3.4336333710982503,aug,CV,Fluorine,D,aug-cc-pCVnZ
5,0,0,CH2BH,aug-cc-pCVDZ,78.1344,68.5518,13.97862638180179,aug,CV,First-row,D,aug-cc-pCVnZ
8,0,0,CH3Cl,aug-cc-pCVDZ,12.315120000000002,1.562274,688.2816970646636,aug,CV,Second-row,D,aug-cc-pCVnZ
9,0,0,CH3F,aug-cc-pCVDZ,16.659660000000002,16.901580000000003,-1.4313454718434626,aug,CV,Fluorine,D,aug-cc-pCVnZ
10,0,0,CH3NH2,aug-cc-pCVDZ,1.69517232,2.7820596,-39.06772090720128,aug,CV,First-row,D,aug-cc-pCVnZ
13,0,0,CO,aug-cc-pCVDZ,19.1421,18.840300000000003,1.6018853202974288,aug,CV,First-row,D,aug-cc-pCVnZ
14,0,0,CS,aug-cc-pCVDZ,34.98882,28.709039999999998,21.87387666045259,aug,CV,Second-row,D,aug-cc-pCVnZ
15,0,0,CSO,aug-cc-pCVDZ,15.51234,20.581919999999997,-24.63122973949951,aug,CV,Second-row,D,aug-cc-pCVnZ
16,0,0,ClCN,aug-cc-pCVDZ,23.469900000000003,13.768620000000002,70.45934886720673,aug,CV,Second-row,D,aug-cc-pCVnZ
19,0,0,FNO,aug-cc-pCVDZ,0.3975000000000001,1.4933322,-73.38167622716499,aug,CV,Fluorine,D,aug-cc-pCVnZ
20,0,0,H2O,aug-cc-pCVDZ,3.0422400000000005,4.6272,-34.253112033195016,aug,CV,First-row,D,aug-cc-pCVnZ
21,0,0,HBO,aug-cc-pCVDZ,25.501619999999996,22.33128,14.196857502122565,aug,CV,First-row,D,aug-cc-pCVnZ
23,0,0,HCCCl,aug-cc-pCVDZ,59.83464,40.12044,49.137546846445346,aug,CV,Second-row,D,aug-cc-pCVnZ
24,0,0,HCCF,aug-cc-pCVDZ,48.495540000000005,46.975139999999996,3.236605574778509,aug,CV,Fluorine,D,aug-cc-pCVnZ
25,0,0,HCHO,aug-cc-pCVDZ,23.65146,22.26708,6.217160040741759,aug,CV,First-row,D,aug-cc-pCVnZ
26,0,0,HCHS,aug-cc-pCVDZ,14.087100000000001,2.3525579999999997,498.79926446021744,aug,CV,Second-row,D,aug-cc-pCVnZ
28,0,0,HCONH2,aug-cc-pCVDZ,13.412892,11.846298,13.224333880508478,aug,CV,First-row,D,aug-cc-pCVnZ
29,0,0,HCOOH,aug-cc-pCVDZ,2.2182719999999994,1.5746765999999996,40.87159230028565,aug,CV,First-row,D,aug-cc-pCVnZ
30,0,0,HCP,aug-cc-pCVDZ,30.24486,27.742560000000005,9.019715556170715,aug,CV,Second-row,D,aug-cc-pCVnZ
33,0,0,HNC,aug-cc-pCVDZ,23.58288,22.660739999999997,4.069328715655369,aug,CV,First-row,D,aug-cc-pCVnZ
35,0,0,HNS,aug-cc-pCVDZ,6.269502,18.974567999999998,-66.95839399347591,aug,CV,Second-row,D,aug-cc-pCVnZ
40,0,0,LiBH4,aug-cc-pCVDZ,33.19278,31.64592,4.888023479804027,aug,CV,First-row,D,aug-cc-pCVnZ
42,0,0,LiCl,aug-cc-pCVDZ,70.8186,47.4636,49.20612848582915,aug,CV,Second-row,D,aug-cc-pCVnZ
43,0,0,LiH,aug-cc-pCVDZ,212.08620000000002,183.5514,15.545945168492324,aug,CV,First-row,D,aug-cc-pCVnZ
48,0,0,NH2Cl,aug-cc-pCVDZ,8.3827074,18.4787118,-54.63586698722148,aug,CV,Second-row,D,aug-cc-pCVnZ
