,molecule,omega,index,basis,alpha,gamma,cluster,alphaMRA,gammaMRA,alphaE,gammaE,augmentation,polarization,mol_system,valence,Type
0,FNO,0,0,aug-cc-pVDZ,15.524175417530001,12.210672167004745,3.0,16.061666666666664,11.954530972207504,-3.346422636525865,2.142628559771445,aug,V,Fluorine,D,aug-cc-pVnZ
1,FNO,1,0,aug-cc-pVDZ,15.528796793479998,12.21701399819676,3.0,16.06635,11.961971729027871,-3.345832790397333,2.1321089444642607,aug,V,Fluorine,D,aug-cc-pVnZ
2,FNO,2,0,aug-cc-pVDZ,15.542703616646667,12.23605845716219,3.0,16.08061,11.980014334844578,-3.3450620551915176,2.137260567150522,aug,V,Fluorine,D,aug-cc-pVnZ
3,FNO,3,0,aug-cc-pVDZ,15.566026511546667,12.267859509290059,3.0,16.10443666666667,12.01100198879494,-3.343241159340983,2.1385186742516686,aug,V,Fluorine,D,aug-cc-pVnZ
4,FNO,4,0,aug-cc-pVDZ,15.598992146413332,12.312496445831316,3.0,16.13895,12.054357724279292,-3.3456814327243665,2.1414556250648995,aug,V,Fluorine,D,aug-cc-pVnZ
5,FNO,5,0,aug-cc-pVDZ,15.641938608786665,12.370054466596168,3.0,16.182676666666666,12.111265791730412,-3.3414624108125532,2.1367599334039595,aug,V,Fluorine,D,aug-cc-pVnZ
6,FNO,6,0,aug-cc-pVDZ,15.695341594356668,12.440589119433817,3.0,16.238046666666666,12.181056385069972,-3.3421819967056656,2.130625835390989,aug,V,Fluorine,D,aug-cc-pVnZ
7,FNO,7,0,aug-cc-pVDZ,15.759858440156668,12.52406175925295,3.0,16.303853333333333,12.263251549995559,-3.336603206951474,2.12676228807755,aug,V,Fluorine,D,aug-cc-pVnZ
8,FNO,8,0,aug-cc-pVDZ,15.836404251893333,12.620219716614722,3.0,16.383476666666667,12.356078775569188,-3.339171690501999,2.1377408305926444,aug,V,Fluorine,D,aug-cc-pVnZ
9,FNO,0,0,aug-cc-pVTZ,15.930854359416665,12.040336573257788,3.0,16.061666666666664,11.954530972207504,-0.8144379407491865,0.7177663536090967,aug,V,Fluorine,T,aug-cc-pVnZ
10,FNO,1,0,aug-cc-pVTZ,15.935549203686667,12.046598011766683,3.0,16.06635,11.961971729027871,-0.8141288862332292,0.7074609826526437,aug,V,Fluorine,T,aug-cc-pVnZ
11,FNO,2,0,aug-cc-pVTZ,15.949676119030002,12.065400906442143,3.0,16.08061,11.980014334844578,-0.8142345406672883,0.7127418149176465,aug,V,Fluorine,T,aug-cc-pVnZ
12,FNO,3,0,aug-cc-pVTZ,15.973364744516667,12.09679811457419,3.0,16.10443666666667,12.01100198879494,-0.8138870353739033,0.7143128096997197,aug,V,Fluorine,T,aug-cc-pVnZ
13,FNO,4,0,aug-cc-pVTZ,16.006839936446667,12.140867271105492,3.0,16.13895,12.054357724279292,-0.8185790497729659,0.7176620173794624,aug,V,Fluorine,T,aug-cc-pVnZ
14,FNO,5,0,aug-cc-pVTZ,16.05043684003333,12.197691744453024,3.0,16.182676666666666,12.111265791730412,-0.8171690589710918,0.7135996700000082,aug,V,Fluorine,T,aug-cc-pVnZ
15,FNO,6,0,aug-cc-pVTZ,16.10462652782333,12.26732582034845,3.0,16.238046666666666,12.181056385069972,-0.821651406614184,0.7082262207095292,aug,V,Fluorine,T,aug-cc-pVnZ
16,FNO,7,0,aug-cc-pVTZ,16.17005903222,12.349731648985284,3.0,16.303853333333333,12.263251549995559,-0.8206299356225809,0.7051971382724843,aug,V,Fluorine,T,aug-cc-pVnZ
17,FNO,8,0,aug-cc-pVTZ,16.247637572326667,12.4446624780717,3.0,16.383476666666667,12.356078775569188,-0.8291225183991247,0.716924067185969,aug,V,Fluorine,T,aug-cc-pVnZ
18,FNO,0,0,aug-cc-pVQZ,16.034430176843333,11.975627203247644,3.0,16.061666666666664,11.954530972207504,-0.1695744930372353,0.17647058750515177,aug,V,Fluorine,Q,aug-cc-pVnZ
19,FNO,1,0,aug-cc-pVQZ,16.039171623713333,11.981871986357966,3.0,16.06635,11.961971729027871,-0.16916335251421052,0.16636268485573552,aug,V,Fluorine,Q,aug-cc-pVnZ
20,FNO,2,0,aug-cc-pVQZ,16.053438465750002,12.000624956395855,3.0,16.08061,11.980014334844578,-0.1689707930855737,0.17204171026181803,aug,V,Fluorine,Q,aug-cc-pVnZ
21,FNO,3,0,aug-cc-pVQZ,16.07736070147,12.031939098928875,3.0,16.10443666666667,12.01100198879494,-0.16812736612334703,0.1743160991353424,aug,V,Fluorine,Q,aug-cc-pVnZ
22,FNO,4,0,aug-cc-pVQZ,16.11116379669,12.075892275111139,3.0,16.13895,12.054357724279292,-0.17216859405352083,0.17864536066050962,aug,V,Fluorine,Q,aug-cc-pVnZ
23,FNO,5,0,aug-cc-pVQZ,16.155183776810002,12.132568193050648,3.0,16.182676666666666,12.111265791730412,-0.16989086801254474,0.17588914062790523,aug,V,Fluorine,Q,aug-cc-pVnZ
24,FNO,6,0,aug-cc-pVQZ,16.2098929076,12.202021604973904,3.0,16.238046666666666,12.181056385069972,-0.173381439557376,0.17211331465166205,aug,V,Fluorine,Q,aug-cc-pVnZ
25,FNO,7,0,aug-cc-pVQZ,16.27594281644667,12.284215243434842,3.0,16.303853333333333,12.263251549995559,-0.1711896955647923,0.17094726756453543,aug,V,Fluorine,Q,aug-cc-pVnZ
26,FNO,8,0,aug-cc-pVQZ,16.354238914433335,12.378902958340024,3.0,16.383476666666667,12.356078775569188,-0.17845877787843445,0.18472027562632012,aug,V,Fluorine,Q,aug-cc-pVnZ
27,FNO,0,0,aug-cc-pV5Z,16.048498555886667,11.962324967733728,3.0,16.061666666666664,11.954530972207504,-0.08198470963991092,0.06519699973461426,aug,V,Fluorine,5,aug-cc-pVnZ
28,FNO,1,0,aug-cc-pV5Z,16.05325560525,11.968558918771846,3.0,16.06635,11.961971729027871,-0.08150198862839804,0.05506775883769962,aug,V,Fluorine,5,aug-cc-pVnZ
29,FNO,2,0,aug-cc-pV5Z,16.067569335926667,11.987279323122724,3.0,16.08061,11.980014334844578,-0.0810955807853892,0.06064256748855419,aug,V,Fluorine,5,aug-cc-pVnZ
30,FNO,3,0,aug-cc-pV5Z,16.091569994033332,12.018538952309852,3.0,16.10443666666667,12.01100198879494,-0.07989520465480261,0.06275049760164488,aug,V,Fluorine,5,aug-cc-pVnZ
31,FNO,4,0,aug-cc-pV5Z,16.125483472636663,12.062415289263216,3.0,16.13895,12.054357724279292,-0.08344116168237765,0.06684358609745318,aug,V,Fluorine,5,aug-cc-pVnZ
32,FNO,5,0,aug-cc-pV5Z,16.169646430620002,12.118991460050653,3.0,16.182676666666666,12.111265791730412,-0.08051965886152526,0.06378910720889126,aug,V,Fluorine,5,aug-cc-pVnZ
33,FNO,6,0,aug-cc-pV5Z,16.22453202231333,12.188321355741031,3.0,16.238046666666666,12.181056385069972,-0.08322826403177287,0.05964154865881538,aug,V,Fluorine,5,aug-cc-pVnZ
34,FNO,7,0,aug-cc-pV5Z,16.290793109756667,12.270366424677691,3.0,16.303853333333333,12.263251549995559,-0.08010513410326262,0.05801784830985664,aug,V,Fluorine,5,aug-cc-pVnZ
35,FNO,8,0,aug-cc-pV5Z,16.369336862323333,12.364878521185135,3.0,16.383476666666667,12.356078775569188,-0.08630527348387428,0.07121794685662375,aug,V,Fluorine,5,aug-cc-pVnZ
36,FNO,0,0,d-aug-cc-pVDZ,16.039371698820002,12.001426883454682,3.0,16.061666666666664,11.954530972207504,-0.13880855772540396,0.3922856643744892,d-aug,V,Fluorine,D,d-aug-cc-pVnZ
37,FNO,1,0,d-aug-cc-pVDZ,16.044127178193335,12.00770860221275,3.0,16.06635,11.961971729027871,-0.13831904450397683,0.3823522929241683,d-aug,V,Fluorine,D,d-aug-cc-pVnZ
38,FNO,2,0,d-aug-cc-pVDZ,16.058436286623333,12.026573102902114,3.0,16.08061,11.980014334844578,-0.13789099652728737,0.38863699788837364,d-aug,V,Fluorine,D,d-aug-cc-pVnZ
39,FNO,3,0,d-aug-cc-pVDZ,16.082429536929997,12.058075577175678,3.0,16.10443666666667,12.01100198879494,-0.13665258954522996,0.39192057768913763,d-aug,V,Fluorine,D,d-aug-cc-pVnZ
40,FNO,4,0,d-aug-cc-pVDZ,16.116333279366668,12.102297681425997,3.0,16.13895,12.054357724279292,-0.14013749737952988,0.3976981457099636,d-aug,V,Fluorine,D,d-aug-cc-pVnZ
41,FNO,5,0,d-aug-cc-pVDZ,16.16048484191,12.159328693876716,3.0,16.182676666666666,12.111265791730412,-0.1371332148183818,0.39684458233194386,d-aug,V,Fluorine,D,d-aug-cc-pVnZ
42,FNO,6,0,d-aug-cc-pVDZ,16.21535829713,12.229230984780548,3.0,16.238046666666666,12.181056385069972,-0.13972351479467754,0.39548786400514696,d-aug,V,Fluorine,D,d-aug-cc-pVnZ
43,FNO,7,0,d-aug-cc-pVDZ,16.281607740886667,12.311977317325741,3.0,16.303853333333333,12.263251549995559,-0.13644377186087991,0.39733154890882333,d-aug,V,Fluorine,D,d-aug-cc-pVnZ
44,FNO,8,0,d-aug-cc-pVDZ,16.36014202351667,12.407334414811615,3.0,16.383476666666667,12.356078775569188,-0.14242790846385747,0.4148212404065557,d-aug,V,Fluorine,D,d-aug-cc-pVnZ
