,molecule,basis,energy,energyMRA,energyE,augmentation,polarization,mol_system,valence,Type
0,NH2Cl,aug-cc-pVDZ,-515.081944165523,-515.1206993559537,0.03875519043060649,aug,V,Second-row,D,aug-cc-pVnZ
1,NaLi,aug-cc-pVDZ,-169.28678187757,-169.2937090991357,0.006927221565689479,aug,V,Second-row,D,aug-cc-pVnZ
2,F2,aug-cc-pVDZ,-198.698792752294,-198.77343264581,0.0746398935160073,aug,V,Fluorine,D,aug-cc-pVnZ
3,HNS,aug-cc-pVDZ,-452.49198806763,-452.5308596955956,0.03887162796559096,aug,V,Second-row,D,aug-cc-pVnZ
4,N2,aug-cc-pVDZ,-108.960660260699,-108.99318488339196,0.03252462269296075,aug,V,First-row,D,aug-cc-pVnZ
5,HCHO,aug-cc-pVDZ,-113.885060288767,-113.9229129357792,0.037852647012201146,aug,V,First-row,D,aug-cc-pVnZ
6,SF2,aug-cc-pVDZ,-596.365013122592,-596.4748975932308,0.10988447063880358,aug,V,Second-row,D,aug-cc-pVnZ
7,LiH,aug-cc-pVDZ,-7.984156735593,-7.9873491301479,0.0031923945548992805,aug,V,First-row,D,aug-cc-pVnZ
8,Na2,aug-cc-pVDZ,-323.704681010796,-323.7170093510182,0.012328340222211409,aug,V,Second-row,D,aug-cc-pVnZ
9,SiO,aug-cc-pVDZ,-363.802272871186,-363.8553384434818,0.05306557229579312,aug,V,Second-row,D,aug-cc-pVnZ
10,Mg,aug-cc-pVDZ,-199.608339672042,-199.61463177308352,0.006292101041509568,aug,V,Second-row,D,aug-cc-pVnZ
11,BH2Cl,aug-cc-pVDZ,-485.376939990309,-485.4050785127743,0.028138522465326332,aug,V,Second-row,D,aug-cc-pVnZ
12,SH2,aug-cc-pVDZ,-398.698035325147,-398.720249758543,0.02221443339601592,aug,V,Second-row,D,aug-cc-pVnZ
13,P2,aug-cc-pVDZ,-681.46999549847,-681.5002419595646,0.03024646109463447,aug,V,Second-row,D,aug-cc-pVnZ
14,HOCl,aug-cc-pVDZ,-534.88710322504,-534.9347567499336,0.047653524893576105,aug,V,Second-row,D,aug-cc-pVnZ
15,N2H4,aug-cc-pVDZ,-111.193760594132,-111.22886565240296,0.035105058270957556,aug,V,First-row,D,aug-cc-pVnZ
16,NaCl,aug-cc-pVDZ,-621.438404662973,-621.4605931601421,0.02218849716916793,aug,V,Second-row,D,aug-cc-pVnZ
17,HCCCl,aug-cc-pVDZ,-535.739164182446,-535.7866704648576,0.04750628241163213,aug,V,Second-row,D,aug-cc-pVnZ
18,SiH3F,aug-cc-pVDZ,-390.176709519584,-390.2484129041651,0.07170338458109882,aug,V,Second-row,D,aug-cc-pVnZ
19,HCl,aug-cc-pVDZ,-460.092615494877,-460.1128288640629,0.020213369185910324,aug,V,Second-row,D,aug-cc-pVnZ
20,P2H4,aug-cc-pVDZ,-683.798219679289,-683.8400444467295,0.04182476744051655,aug,V,Second-row,D,aug-cc-pVnZ
21,HCN,aug-cc-pVDZ,-92.887175000335,-92.91544634893856,0.028271348603553292,aug,V,First-row,D,aug-cc-pVnZ
22,H2,aug-cc-pVDZ,-1.128793348644,-1.1336222994266816,0.004828950782681529,aug,V,First-row,D,aug-cc-pVnZ
23,Mg2,aug-cc-pVDZ,-399.213946534764,-399.2265787145141,0.012632179750141859,aug,V,Second-row,D,aug-cc-pVnZ
24,CSO,aug-cc-pVDZ,-510.299355875136,-510.3560432360895,0.056687360953503685,aug,V,Second-row,D,aug-cc-pVnZ
25,PH3O,aug-cc-pVDZ,-417.338618619728,-417.412960631196,0.07434201146799069,aug,V,Second-row,D,aug-cc-pVnZ
26,FNO,aug-cc-pVDZ,-228.654306825506,-228.72966687021048,0.07536004470446755,aug,V,Fluorine,D,aug-cc-pVnZ
27,S2H2,aug-cc-pVDZ,-796.229928979024,-796.2748019998024,0.04487302077848199,aug,V,Second-row,D,aug-cc-pVnZ
28,CH3OH,aug-cc-pVDZ,-115.061072596069,-115.10105789918822,0.03998530311922366,aug,V,First-row,D,aug-cc-pVnZ
29,NH3O,aug-cc-pVDZ,-130.975264703726,-131.01719613094002,0.0419314272140241,aug,V,First-row,D,aug-cc-pVnZ
30,BF,aug-cc-pVDZ,-124.114970067119,-124.16860420179052,0.0536341346715119,aug,V,Fluorine,D,aug-cc-pVnZ
31,OCl2,aug-cc-pVDZ,-993.73038021816,-993.7989307472096,0.06855052904961667,aug,V,Second-row,D,aug-cc-pVnZ
32,HBS,aug-cc-pVDZ,-422.81720864619,-422.8426665433457,0.025457897155661158,aug,V,Second-row,D,aug-cc-pVnZ
33,C2H2,aug-cc-pVDZ,-76.82848240779,-76.85569409750497,0.02721168971496013,aug,V,First-row,D,aug-cc-pVnZ
34,HF,aug-cc-pVDZ,-100.033474193137,-100.07080831122995,0.03733411809295717,aug,V,Fluorine,D,aug-cc-pVnZ
35,SO2,aug-cc-pVDZ,-547.206061060743,-547.3272441948739,0.12118313413088799,aug,V,Second-row,D,aug-cc-pVnZ
36,Cl2,aug-cc-pVDZ,-918.966004080346,-919.0108100759442,0.04480599559815346,aug,V,Second-row,D,aug-cc-pVnZ
37,Ar,aug-cc-pVDZ,-526.800972402032,-526.8175012159218,0.016528813889749472,aug,V,Second-row,D,aug-cc-pVnZ
38,PH3,aug-cc-pVDZ,-342.47199789162,-342.49455275696744,0.022554865347444775,aug,V,Second-row,D,aug-cc-pVnZ
39,NH3,aug-cc-pVDZ,-56.205386615648,-56.2249450087954,0.019558393147399045,aug,V,First-row,D,aug-cc-pVnZ
40,CH2BH,aug-cc-pVDZ,-64.230900179315,-64.25221923994584,0.021319060630844433,aug,V,First-row,D,aug-cc-pVnZ
41,HCCF,aug-cc-pVDZ,-175.664819356761,-175.72950415795736,0.0646848011963641,aug,V,Fluorine,D,aug-cc-pVnZ
42,CH2NH,aug-cc-pVDZ,-94.046847738307,-94.07615662952324,0.029308891216246025,aug,V,First-row,D,aug-cc-pVnZ
43,SCl2,aug-cc-pVDZ,-1316.514583565421,-1316.5829079576567,0.06832439223580877,aug,V,Second-row,D,aug-cc-pVnZ
44,CH3SH,aug-cc-pVDZ,-437.728960798906,-437.7653462094153,0.03638541050935373,aug,V,Second-row,D,aug-cc-pVnZ
45,CH3Cl,aug-cc-pVDZ,-499.119940187216,-499.1538869843695,0.03394679715347593,aug,V,Second-row,D,aug-cc-pVnZ
46,BeH2,aug-cc-pVDZ,-15.768464084904,-15.773218276632424,0.004754191728423507,aug,V,First-row,D,aug-cc-pVnZ
47,LiCl,aug-cc-pVDZ,-467.037645156053,-467.0561555507923,0.018510394739337244,aug,V,Second-row,D,aug-cc-pVnZ
48,HCHS,aug-cc-pVDZ,-436.534014634264,-436.5666245145548,0.03260988029080636,aug,V,Second-row,D,aug-cc-pVnZ
49,NaH,aug-cc-pVDZ,-162.384559358517,-162.39334594193485,0.00878658341784444,aug,V,Second-row,D,aug-cc-pVnZ
50,Ne,aug-cc-pVDZ,-128.49634973054,-128.54709508140573,0.05074535086572496,aug,V,First-row,D,aug-cc-pVnZ
51,BH3,aug-cc-pVDZ,-26.391254832028,-26.402604195447275,0.011349363419274283,aug,V,First-row,D,aug-cc-pVnZ
52,C2H4,aug-cc-pVDZ,-78.043348031273,-78.07005740634631,0.026709375073309616,aug,V,First-row,D,aug-cc-pVnZ
53,ClCN,aug-cc-pVDZ,-551.794963425454,-551.8439976993157,0.049034273861707334,aug,V,Second-row,D,aug-cc-pVnZ
54,OF2,aug-cc-pVDZ,-273.487686454601,-273.5872079514327,0.09952149683169864,aug,V,Fluorine,D,aug-cc-pVnZ
55,CH4,aug-cc-pVDZ,-40.199618077869,-40.21707461893389,0.017456541064895248,aug,V,First-row,D,aug-cc-pVnZ
56,BH2F,aug-cc-pVDZ,-125.332702087146,-125.38651116165326,0.05380907450725658,aug,V,Fluorine,D,aug-cc-pVnZ
57,HCONH2,aug-cc-pVDZ,-168.963921700826,-169.01912623575151,0.05520453492550814,aug,V,First-row,D,aug-cc-pVnZ
58,LiCN,aug-cc-pVDZ,-99.794207255334,-99.821289359007,0.027082103672995572,aug,V,First-row,D,aug-cc-pVnZ
59,Be,aug-cc-pVDZ,-14.572379149349,-14.573021989368604,0.0006428400196032413,aug,V,First-row,D,aug-cc-pVnZ
60,CH3BH2,aug-cc-pVDZ,-65.447782409517,-65.47206213551908,0.02427972600207795,aug,V,First-row,D,aug-cc-pVnZ
61,NOCl,aug-cc-pVDZ,-588.727520352641,-588.7841114970596,0.05659114441857582,aug,V,Second-row,D,aug-cc-pVnZ
62,CS,aug-cc-pVDZ,-435.334076100821,-435.3623854607222,0.028309359901186326,aug,V,Second-row,D,aug-cc-pVnZ
63,He,aug-cc-pVDZ,-2.85570466771,-2.861679278747712,0.00597461103771213,aug,V,First-row,D,aug-cc-pVnZ
64,SiH4,aug-cc-pVDZ,-291.243181072551,-291.2685971476531,0.02541607510210042,aug,V,Second-row,D,aug-cc-pVnZ
65,CO,aug-cc-pVDZ,-112.754701714562,-112.79090134457724,0.03619963001523274,aug,V,First-row,D,aug-cc-pVnZ
66,O3,aug-cc-pVDZ,-224.288204910159,-224.36164650651108,0.07344159635206893,aug,V,First-row,D,aug-cc-pVnZ
67,BHF2,aug-cc-pVDZ,-224.281196248785,-224.37774418031327,0.09654793152827779,aug,V,Fluorine,D,aug-cc-pVnZ
68,NaCN,aug-cc-pVDZ,-254.196021167761,-254.22764856593096,0.03162739816997373,aug,V,Second-row,D,aug-cc-pVnZ
69,CH3F,aug-cc-pVDZ,-139.057465971457,-139.11028544439,0.05281947293300959,aug,V,Fluorine,D,aug-cc-pVnZ
70,C6H6,aug-cc-pVDZ,-230.727991746823,-230.7969690049737,0.06897725815070999,aug,V,First-row,D,aug-cc-pVnZ
71,Li2,aug-cc-pVDZ,-14.869843313382,-14.871561219608218,0.0017179062262169253,aug,V,First-row,D,aug-cc-pVnZ
72,FCN,aug-cc-pVDZ,-191.720619710432,-191.78747330817856,0.06685359774655808,aug,V,Fluorine,D,aug-cc-pVnZ
73,CH3NH2,aug-cc-pVDZ,-95.230698626155,-95.26309728117376,0.03239865501875272,aug,V,First-row,D,aug-cc-pVnZ
74,SiH3Cl,aug-cc-pVDZ,-750.225441486064,-750.2716834824572,0.04624199639317794,aug,V,Second-row,D,aug-cc-pVnZ
75,NH2F,aug-cc-pVDZ,-154.98850360415,-155.0414658687027,0.05296226455268993,aug,V,Fluorine,D,aug-cc-pVnZ
76,CO2,aug-cc-pVDZ,-187.662457659004,-187.7248974832067,0.062439824202698446,aug,V,First-row,D,aug-cc-pVnZ
77,HCP,aug-cc-pVDZ,-379.129540358794,-379.1603611802437,0.030820821449708546,aug,V,Second-row,D,aug-cc-pVnZ
78,NH2OH,aug-cc-pVDZ,-131.011693920002,-131.05393326435697,0.04223934435498222,aug,V,First-row,D,aug-cc-pVnZ
79,N2H2,aug-cc-pVDZ,-110.007867943438,-110.03919648733287,0.031328543894872496,aug,V,First-row,D,aug-cc-pVnZ
80,HNO,aug-cc-pVDZ,-129.808663680914,-129.84754248483563,0.038878803921619465,aug,V,First-row,D,aug-cc-pVnZ
81,ClF,aug-cc-pVDZ,-558.860568454559,-558.9201627529852,0.05959429842619102,aug,V,Second-row,D,aug-cc-pVnZ
82,LiBH4,aug-cc-pVDZ,-34.455971267876,-34.471596967704144,0.015625699828142103,aug,V,First-row,D,aug-cc-pVnZ
83,HNC,aug-cc-pVDZ,-92.871288925971,-92.90011293647468,0.02882401050368344,aug,V,First-row,D,aug-cc-pVnZ
84,H2O,aug-cc-pVDZ,-76.041393520065,-76.06744053579361,0.026047015728607903,aug,V,First-row,D,aug-cc-pVnZ
85,HCOOH,aug-cc-pVDZ,-188.788482773384,-188.8510042006056,0.06252142722158283,aug,V,First-row,D,aug-cc-pVnZ
86,HOF,aug-cc-pVDZ,-174.760913760147,-174.82228692034073,0.06137316019373884,aug,V,Fluorine,D,aug-cc-pVnZ
87,HBO,aug-cc-pVDZ,-100.178159829766,-100.21398400383433,0.035824174068324055,aug,V,First-row,D,aug-cc-pVnZ
88,HOOH,aug-cc-pVDZ,-150.79819099771,-150.84848665107518,0.05029565336516839,aug,V,First-row,D,aug-cc-pVnZ
89,NH2Cl,aug-cc-pVTZ,-515.111016715866,-515.1206993559537,0.009682640087703476,aug,V,Second-row,T,aug-cc-pVnZ
90,NaLi,aug-cc-pVTZ,-169.292575534489,-169.2937090991357,0.0011335646466932303,aug,V,Second-row,T,aug-cc-pVnZ
91,F2,aug-cc-pVTZ,-198.754781242283,-198.77343264581,0.01865140352700223,aug,V,Fluorine,T,aug-cc-pVnZ
92,HNS,aug-cc-pVTZ,-452.519963538639,-452.5308596955956,0.010896156956619052,aug,V,Second-row,T,aug-cc-pVnZ
93,N2,aug-cc-pVTZ,-108.984713519666,-108.99318488339196,0.00847136372595969,aug,V,First-row,T,aug-cc-pVnZ
94,HCHO,aug-cc-pVTZ,-113.913545848003,-113.9229129357792,0.009367087776197991,aug,V,First-row,T,aug-cc-pVnZ
95,SF2,aug-cc-pVTZ,-596.445334242722,-596.4748975932308,0.029563350508851727,aug,V,Second-row,T,aug-cc-pVnZ
96,LiH,aug-cc-pVTZ,-7.986811610507,-7.9873491301479,0.000537519640899653,aug,V,First-row,T,aug-cc-pVnZ
